Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PW,Power REIT (MD) Common Stock,$0.62,0.0053,0.862%,2101590.00,United States,1998,9704,Real Estate,Real Estate Investment Trusts
PZG,Paramount Gold Nevada Corp. Common Stock,$0.345,0.003,0.877%,20807065.00,United States,2015,38292,Basic Materials,Metal Mining
RCG,RENN Fund Inc Common Stock,$1.58,0.00,0.00%,0.00,United States,,6991,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,$1.425,0.005,0.352%,278773179.00,United States,,730208,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$27.50,3.43,14.25%,561720473.00,United States,1999,129679,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$2.35,0.01,0.427%,4425116.00,,2017,678,Real Estate,Real Estate
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$0.8899,-0.0001,-0.011%,,,,500,,
RLGT,Radiant Logistics Inc. Common Stock,$5.5637,-0.0263,-0.47%,261065695.00,United States,,31630,Consumer Discretionary,Oil Refining/Marketing
RVP,Retractable Technologies Inc. Common Stock,$1.211,-0.049,-3.889%,36253900.00,United States,2001,191741,Health Care,Medical/Dental Instruments
RYDE,Ryde Group Ltd. Class A Ordinary Shares,$4.5499,0.5499,13.748%,0.00,,2024,331635,,
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$24.755,0.055,0.223%,1122798400.00,United States,2019,1325,Real Estate,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$3.815,-0.025,-0.651%,173034777.00,United States,2017,103924,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$21.735,0.1347,0.624%,,United States,,2128,,
SATX,SatixFy Communications Ltd. Ordinary Share,$0.5301,-0.0264,-4.744%,42809268.00,,2022,169206,Technology,Radio And Television Broadcasting And Communications Equipment
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$0.6502,-0.0108,-1.634%,28490318.00,,2021,82433,Consumer Staples,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.21,0.0238,0.094%,1143435575.00,United States,2019,304,Real Estate,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.01,0.02,0.08%,1134364289.00,United States,2020,3620,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$22.20,0.1361,0.617%,1006912724.00,United States,,1600,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$22.55,0.19,0.85%,1022787474.00,United States,2022,1057,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$22.73,0.10,0.442%,1030951631.00,United States,2022,510,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$23.80,0.4405,1.886%,1079483010.00,United States,2022,1443,Real Estate,Real Estate Investment Trusts
SCPX,Scorpius Holdings Inc. Common Stock,$0.359,0.0459,14.66%,9363399.00,United States,2022,4418666,Health Care,Biotechnology: Pharmaceutical Preparations
SDPI,Superior Drilling Products Inc. Common Stock,$0.8844,0.1796,25.482%,26878013.00,,2014,1234786,Industrials,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3204.78,-4.71,-0.147%,3112017643.00,United States,1996,1600,Industrials,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$0.60,0.0443,7.972%,318401061.00,United States,,2033569,Industrials,Industrial Machinery/Components
SGE,Strong Global Entertainment Inc. Class A Common Voting Shares,$1.2704,-0.0146,-1.136%,10008010.00,,2023,790,,
SGN,Signing Day Sports Inc. Common Stock,$0.4752,-0.0748,-13.60%,6295712.00,,2023,94430,,
SIF,SIFCO Industries Inc. Common Stock,$3.15,0.07,2.273%,19403959.00,United States,1969,2909,Industrials,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$5.57,-0.06,-1.066%,812152587.00,Canada,2018,2092616,Basic Materials,Precious Metals
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$30.73,0.00,0.00%,4733811946.00,Mexico,1998,99,Industrials,Steel/Iron Ore
SKYH,Sky Harbour Group Corporation Class A Common Stock,$12.86,0.26,2.063%,821686691.00,,2022,10809,Industrials,Military/Government/Technical
SLI,Standard Lithium Ltd. Common Shares,$1.255,-0.025,-1.953%,216929507.00,Canada,2021,380636,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$4.73,0.08,1.72%,226774463.00,United States,,8774,Industrials,Military/Government/Technical
SOAR,Volato Group Inc. Class A Common Stock,$4.25,0.25,6.25%,56708167.00,,2022,28910,Finance,Blank Checks
SSY,SunLink Health Systems Inc. Common Stock,$0.77,-0.0001,-0.013%,5421264.00,United States,1996,8449,Health Care,Hospital/Nursing Management
STRW,Strawberry Fields REIT Inc. Common Stock,$7.90,-0.04,-0.504%,50793161.00,,2023,379,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$2.605,0.195,8.091%,210704281.00,United States,,198516,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$2.72,0.05,1.873%,482468699.00,Canada,,1568492,Basic Materials,Precious Metals
SVT,Servotronics Inc. Common Stock,$13.27,0.00,0.00%,33124720.00,United States,1970,46,Consumer Discretionary,Industrial Machinery/Components
SYNX,Silynxcom Ltd. Ordinary Shares,$3.84,0.135,3.644%,20160000.00,,2024,18410,,
TELL,Tellurian Inc. Common Stock,$0.8029,-0.0692,-7.935%,628183686.00,United States,,40116866,Finance,Investment Bankers/Brokers/Service
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$15.26,-0.41,-2.616%,11939323757.00,United States,,5031,Energy,Oil & Gas Production
TGB,Taseko Mines Ltd. Common Stock,$1.635,0.025,1.553%,472068645.00,Canada,,2074458,Basic Materials,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.5849,-0.0351,-5.661%,114573447.00,Canada,,83489,,
TMP,Tompkins Financial Corporation Common Stock,$49.695,0.015,0.03%,715912034.00,United States,1997,19622,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$0.4429,-0.0061,-1.359%,70752864.00,Canada,,57293,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$1.435,-0.005,-0.347%,50496392.00,United States,,85010,Consumer Discretionary,Movies/Entertainment
